the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,8/28/2020,167,positive,1/30/2021 18:20
,,5/3/2020,910,negative,1/30/2021 18:20
,,1/19/2021,7534,negative,1/30/2021 18:20
,,5/28/2020,2095,negative,1/30/2021 18:20
,,10/6/2020,209,positive,1/30/2021 18:20
,,10/18/2020,3939,negative,1/30/2021 18:20
,,7/8/2020,3619,negative,1/30/2021 18:20
,,11/16/2020,1167,positive,1/30/2021 18:20
,,11/30/2020,5511,negative,1/30/2021 18:20
,,12/22/2020,7126,negative,1/30/2021 18:20
,,3/13/2020,117,negative,1/30/2021 18:20
,,7/14/2020,198,positive,1/30/2021 18:20
,,11/23/2020,1285,positive,1/30/2021 18:20
,,6/9/2020,2306,negative,1/30/2021 18:20
,,6/22/2020,133,positive,1/30/2021 18:20
,,6/30/2020,2697,negative,1/30/2021 18:20
,,1/21/2021,6692,negative,1/30/2021 18:20
,,7/17/2020,3711,negative,1/30/2021 18:20
,,8/25/2020,121,positive,1/30/2021 18:20
,,4/4/2020,946,negative,1/30/2021 18:20
,,8/7/2020,3246,negative,1/30/2021 18:20
,,3/21/2020,94,positive,1/30/2021 18:20
,,1/15/2021,537,positive,1/30/2021 18:20
,,11/4/2020,645,positive,1/30/2021 18:20
,,5/16/2020,1359,negative,1/30/2021 18:20
,,9/16/2020,96,positive,1/30/2021 18:20
,,6/9/2020,145,positive,1/30/2021 18:20
,,11/11/2020,1116,positive,1/30/2021 18:20
,,9/10/2020,3807,negative,1/30/2021 18:20
,,4/20/2020,626,positive,1/30/2021 18:20
,,12/20/2020,350,positive,1/30/2021 18:20
,,12/4/2020,1149,positive,1/30/2021 18:20
,,8/16/2020,48,positive,1/30/2021 18:20
,,4/13/2020,516,negative,1/30/2021 18:20
,,11/16/2020,6040,negative,1/30/2021 18:20
,,12/31/2020,535,positive,1/30/2021 18:20
,,7/20/2020,3255,negative,1/30/2021 18:20
,,4/30/2020,1346,negative,1/30/2021 18:20
,,8/31/2020,234,positive,1/30/2021 18:20
,,11/5/2020,6642,negative,1/30/2021 18:20
,,6/19/2020,127,positive,1/30/2021 18:20
,,10/15/2020,6355,negative,1/30/2021 18:20
,,9/26/2020,3415,negative,1/30/2021 18:20
,,5/6/2020,370,positive,1/30/2021 18:20
,,11/24/2020,1215,positive,1/30/2021 18:20
,,11/19/2020,1128,positive,1/30/2021 18:20
,,8/11/2020,3461,negative,1/30/2021 18:20
,,4/18/2020,259,positive,1/30/2021 18:20
,,12/3/2020,8452,negative,1/30/2021 18:20
,,3/16/2020,225,negative,1/30/2021 18:20
,,7/11/2020,113,positive,1/30/2021 18:20
,,11/6/2020,6494,negative,1/30/2021 18:20
,,5/26/2020,2224,negative,1/30/2021 18:20
,,10/8/2020,269,positive,1/30/2021 18:20
,,6/12/2020,2322,negative,1/30/2021 18:20
,,5/19/2020,269,positive,1/30/2021 18:20
,,9/13/2020,2901,negative,1/30/2021 18:20
,,8/27/2020,154,positive,1/30/2021 18:20
,,5/4/2020,1287,negative,1/30/2021 18:20
,,3/26/2020,622,negative,1/30/2021 18:20
,,8/2/2020,69,positive,1/30/2021 18:20
,,12/20/2020,5754,negative,1/30/2021 18:20
,,8/18/2020,3643,negative,1/30/2021 18:20
,,4/11/2020,222,positive,1/30/2021 18:20
,,7/24/2020,170,positive,1/30/2021 18:20
,,1/20/2021,462,positive,1/30/2021 18:20
,,6/12/2020,96,positive,1/30/2021 18:20
